Long_Name,Population,Primary_Category,Address,Zip,School_Latitude,School_Longitude,Attainment_Reading_Pct_ES,Attainment_Math_Pct_ES,School_Survey_Safety,Suspensions_Per_100_Students_Pct,Misconducts_To_Suspensions_Pct,Student_Attendance_Pct,Teacher_Attendance_Pct,Graduation_School_Pct,College_Enrollment_School_Pct,Chronic_Truancy_Pct,SAT_Grade_11_Score_School_Avg
John W Garvy Elementary School,830,ES,5225 N OAK PARK AVE,60656,41.976352,-87.796235,88,83,NEUTRAL,1,10.5,95.3,96.3,,,6.1,
Oriole Park Elementary School,739,ES,5424 N OKETO AVE,60656,41.978501,-87.812054,92,92,STRONG,0.1,2.1,95.5,95.1,,,9.3,
George F Cassell Elementary School,381,ES,11314 S SPAULDING AVE,60655,41.687347,-87.703215,83,68,STRONG,1,22.2,93.1,94.4,,,12.4,
Mount Greenwood Elementary School,1182,ES,10841 S HOMAN AVE,60655,41.695734,-87.70581,98,97,VERY STRONG,0.4,50,95.9,96.1,,,1.6,
Wendell Phillips Academy High School,770,HS,244 E PERSHING RD,60653,41.82388,-87.619796,,,WEAK,57.9,26.5,80.4,93.6,59.1,57.3,100,857
Irvin C Mollison Elementary School,281,ES,4415 S DR MARTIN L KING JR DR,60653,41.814358,-87.616618,22,12,WEAK,3.8,20.3,92.7,94.4,,,52.5,
Jackie Robinson Elementary School,137,ES,4225 S LAKE PARK AVE,60653,41.817349,-87.599067,83,78,NOT ENOUGH DATA,0.8,3.1,93.6,92.5,,,28.5,
Melville W Fuller Elementary School,389,ES,4214 S ST LAWRENCE AVE,60653,41.818003,-87.611784,23,29,STRONG,4.6,69.2,94.7,95.1,,,39.3,
Carter G Woodson South Elementary School,334,ES,4414 S EVANS AVE,60653,41.814499,-87.608419,33,25,NEUTRAL,5,48.6,93.3,94,,,55.5,
Durkin Park Elementary School,676,ES,8445 S KOLIN AVE,60652,41.738844,-87.729955,71,64,WEAK,2.4,53.1,94.9,95.6,,,12.4,
William J Bogan High School,838,HS,3939 W 79TH ST,60652,41.749376,-87.721097,,,WEAK,13.4,19.6,87.5,94.6,66.9,47.7,65.2,832
