Zip,Studio,1BD,2BD,3BD,4BD
60565,$1,760,$1,890,$2,150,$2,740,$3,240
60566,$1,580,$1,710,$1,940,$2,470,$2,920
60567,$1,550,$1,670,$1,890,$2,410,$2,860
60585,$2,040,$2,200,$2,540,$3,280,$3,820
60586,$2,010,$2,170,$2,510,$3,230,$3,770
60598,$1,580,$1,710,$1,940,$2,470,$2,920
60599,$1,580,$1,710,$1,940,$2,470,$2,920
60601,$2,100,$2,260,$2,570,$3,270,$3,870
60602,$2,100,$2,260,$2,570,$3,270,$3,870
60603,$2,100,$2,260,$2,570,$3,270,$3,870
60604,$2,100,$2,260,$2,570,$3,270,$3,870
60605,$2,100,$2,260,$2,570,$3,270,$3,870
60606,$2,100,$2,260,$2,570,$3,270,$3,870
60607,$2,100,$2,260,$2,570,$3,270,$3,870
60608,$1,140,$1,230,$1,400,$1,780,$2,110
60609,$960,$1,040,$1,180,$1,500,$1,780
60610,$2,100,$2,260,$2,570,$3,270,$3,870
60611,$2,100,$2,260,$2,570,$3,270,$3,870
60612,$1,450,$1,560,$1,770,$2,250,$2,670
60613,$2,100,$2,260,$2,570,$3,270,$3,870
60614,$2,100,$2,260,$2,570,$3,270,$3,870
60615,$1,620,$1,740,$1,980,$2,520,$2,980
60616,$1,430,$1,540,$1,750,$2,230,$2,640
60617,$1,000,$1,070,$1,220,$1,550,$1,840
60618,$1,500,$1,620,$1,840,$2,340,$2,770
60619,$1,150,$1,240,$1,410,$1,790,$2,120
60620,$1,150,$1,240,$1,410,$1,790,$2,120
60621,$1,050,$1,130,$1,280,$1,630,$1,930
60622,$1,920,$2,070,$2,350,$2,990,$3,540
60623,$1,030,$1,110,$1,260,$1,600,$1,900
60624,$1,190,$1,280,$1,460,$1,860,$2,200
60625,$1,620,$1,740,$1,980,$2,520,$2,980
60626,$1,540,$1,660,$1,890,$2,410,$2,850
60628,$1,160,$1,250,$1,420,$1,810,$2,140
60629,$1,080,$1,160,$1,320,$1,680,$1,990
60630,$1,410,$1,520,$1,730,$2,200,$2,610
60631,$1,360,$1,470,$1,670,$2,130,$2,520
60632,$1,020,$1,100,$1,250,$1,590,$1,880
60633,$1,150,$1,240,$1,410,$1,790,$2,120
60634,$1,340,$1,440,$1,640,$2,090,$2,470
60636,$1,000,$1,070,$1,220,$1,550,$1,840
60637,$1,190,$1,280,$1,460,$1,860,$2,200
60638,$1,220,$1,320,$1,500,$1,910,$2,260
60639,$1,230,$1,330,$1,510,$1,920,$2,280
60640,$1,770,$1,910,$2,170,$2,760,$3,270
60641,$1,350,$1,450,$1,650,$2,100,$2,490
60642,$2,100,$2,260,$2,570,$3,270,$3,870
60643,$1,290,$1,390,$1,580,$2,010,$2,380
60644,$1,180,$1,270,$1,440,$1,830,$2,170
60645,$1,500,$1,620,$1,840,$2,340,$2,770
60646,$1,370,$1,480,$1,680,$2,140,$2,530
60647,$1,630,$1,760,$2,000,$2,550,$3,010
60649,$1,220,$1,310,$1,490,$1,900,$2,250
60651,$1,240,$1,340,$1,520,$1,930,$2,290
60652,$1,450,$1,560,$1,780,$2,270,$2,680
60653,$1,140,$1,230,$1,400,$1,780,$2,110
60654,$2,100,$2,260,$2,570,$3,270,$3,870
60655,$1,310,$1,410,$1,600,$2,040,$2,410
60656,$1,400,$1,500,$1,710,$2,180,$2,580
60657,$2,100,$2,260,$2,570,$3,270,$3,870
60659,$1,450,$1,560,$1,770,$2,250,$2,670
60660,$1,680,$1,810,$2,060,$2,620,$3,100
60661,$2,100,$2,260,$2,570,$3,270,$3,870
60666,$1,370,$1,480,$1,680,$2,140,$2,530
60669,$1,370,$1,480,$1,680,$2,140,$2,530
60670,$1,370,$1,480,$1,680,$2,140,$2,530
60673,$1,370,$1,480,$1,680,$2,140,$2,530
60674,$1,370,$1,480,$1,680,$2,140,$2,530
60675,$1,370,$1,480,$1,680,$2,140,$2,530
60678,$1,370,$1,480,$1,680,$2,140,$2,530
60682,$1,370,$1,480,$1,680,$2,140,$2,530
60685,$1,370,$1,480,$1,680,$2,140,$2,530
60686,$1,370,$1,480,$1,680,$2,140,$2,530
60687,$1,370,$1,480,$1,680,$2,140,$2,530
60688,$1,370,$1,480,$1,680,$2,140,$2,530
60689,$1,370,$1,480,$1,680,$2,140,$2,530
60690,$1,370,$1,480,$1,680,$2,140,$2,530
60693,$1,370,$1,480,$1,680,$2,140,$2,530
60694,$1,370,$1,480,$1,680,$2,140,$2,530
60695,$1,370,$1,480,$1,680,$2,140,$2,530
60697,$1,370,$1,480,$1,680,$2,140,$2,530
60699,$1,370,$1,480,$1,680,$2,140,$2,530
60701,$1,370,$1,480,$1,680,$2,140,$2,530
60706,$1,260,$1,350,$1,540,$1,960,$2,320
60707,$1,320,$1,420,$1,620,$2,060,$2,440
60712,$2,100,$2,260,$2,570,$3,270,$3,870
60714,$1,300,$1,400,$1,590,$2,020,$2,400
60803,$1,130,$1,210,$1,380,$1,760,$2,080
60804,$1,160,$1,250,$1,420,$1,810,$2,140
60805,$1,350,$1,450,$1,650,$2,100,$2,490
60827,$1,140,$1,230,$1,400,$1,780,$2,110
60935,$920,$1,030,$1,350,$1,820,$1,880
60940,$810,$910,$1,190,$1,600,$1,660
60950,$760,$850,$1,110,$1,500,$1,550
61012,$730,$820,$1,080,$1,450,$1,490
61038,$880,$970,$1,200,$1,570,$1,750
